url,entropy,pathentropy,hostname_length,path_length,tld_length,count-,count-@,special_chacter,count-http,count-https,count-www,count-digit,count-letter,count_dir,Iframe,SubmittingToEmail,WebTraffic,Redirection,google_index,url_length,DomainRegistrationLength,HavingIp,sfh,short_url_service,favicon
https://blog.naver.com/donorlove/222115401947,4.489199419023813,3.729446194905257,14,23,3,1,1,2,1,1,0,12,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/s_innopark/222089073256,4.664653803789036,4.001629167387823,14,24,3,1,1,2,1,1,0,12,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/riblog/222127732938,4.431257232859707,3.4414460711655215,14,20,3,1,1,2,1,1,0,12,23,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/relief_sos/222136271256,4.526294499949898,3.68456081428629,14,24,3,1,1,2,1,1,0,12,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://blog.naver.com/future4all/222134028135,4.577697282049905,3.7516291673878235,14,24,3,1,1,2,1,1,0,13,26,2,1,1,1,1,-1,1,-1,-1,1,1,-1
https://nid.naver.com/user/help.nhn,4.0360069453309535,3.2359263506290334,13,14,3,1,1,3,1,1,0,0,27,2,1,1,1,1,-1,1,-1,-1,1,1,0
https://nid.naver.com/nidreminder.form,3.9708400131019856,3.2195282822995477,13,17,3,1,1,3,1,1,0,0,31,1,1,1,1,1,-1,1,-1,-1,1,1,0
https://nid.naver.com/nidregister.form,4.076103170996723,3.5724694587701364,13,17,3,1,1,3,1,1,0,0,31,1,1,1,1,1,-1,1,-1,-1,0,1,0
https://news.naver.com/main/home.nhn,3.8746697102453487,3.039148671903071,14,14,3,1,1,3,1,1,0,0,28,2,1,1,1,1,-1,1,-1,-1,0,1,-1
https://www.navercorp.com/service/creators,3.9011462208004106,3.1751231351134614,17,17,3,1,1,2,1,1,1,0,35,2,1,1,1,1,-1,1,0,-1,1,1,-1
https://www.navercorp.com/service/business,4.061976875613826,3.1018812234760182,17,17,3,1,1,2,1,1,1,0,35,2,1,1,1,1,-1,1,0,-1,1,1,-1
https://business.naver.com/service.html,4.057855988582063,3.5465935642949384,18,13,3,1,1,3,1,1,0,0,32,1,1,1,1,1,-1,1,-1,-1,1,1,1
https://sell.storefarm.naver.com,3.944548827786958,0.0,24,0,3,1,1,3,1,1,0,0,26,0,1,1,1,1,-1,1,-1,-1,1,1,-1
https://smartplace.naver.com,3.896291529045928,0.0,20,0,3,1,1,2,1,1,0,0,23,0,1,1,1,1,-1,1,-1,-1,1,1,-1
https://developers.naver.com,3.950212064914747,0.0,20,0,3,1,1,2,1,1,0,0,23,0,1,1,1,1,-1,1,-1,-1,1,1,0
https://developers.naver.com/docs/common/openapiguide,4.097663322602671,3.5736606896881855,20,25,3,1,1,2,1,1,0,0,45,3,1,1,1,1,-1,1,-1,-1,1,1,0
https://naver.github.io,3.969001629875993,0.0,15,0,9,1,1,2,1,1,0,0,18,0,1,1,0,1,-1,1,-1,-1,1,1,-1
https://d2.naver.com,4.021928094887362,0.0,12,0,3,1,1,2,1,1,0,1,14,0,1,1,1,1,-1,1,-1,-1,1,1,0
http://d2startup.com,3.721928094887362,0.0,13,0,3,1,1,1,1,0,0,1,15,0,1,1,0,1,-1,1,-1,-1,1,1,0
